id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,min_hit,days_to_min,max_profit_pct,days_to_max
1135,2025-08-19,13:47:31,AH,140,100-499,329.31,318.43,3.303877805107648,Bearish,1,1.0,1,1.0,4.466913818737474,1
1136,2025-08-19,12:18:21,RTH,30,20-49,328.61,339.7,3.3748212166397775,Bullish,1,3.0,1,3.0,54.61997504640759,89
1137,2025-08-19,13:42:16,AH,130,100-499,329.31,341.31,3.6439828732804957,Bullish,1,4.0,1,3.0,54.291306064194835,89
1138,2025-08-19,13:45:58,AH,60,50-100,329.31,341.62,3.738119097506909,Bullish,1,4.0,1,3.0,54.291306064194835,89
1139,2025-08-19,09:50:22,RTH,47,20-49,332.26,343.3,3.322699091073262,Bullish,1,4.0,1,4.0,52.92141696261964,89
1140,2025-08-19,13:47:41,AH,300,100-499,329.31,350.51,6.437703076128871,Bullish,1,5.0,1,3.0,54.291306064194835,89
1197,2025-08-20,13:59:42,AH,30,20-49,323.9,301.66,6.866316764433453,Bearish,0,,0,,1.611610782407758,1
1198,2025-08-20,13:47:50,AH,748,500-999,323.9,302.28,6.674899660389011,Bearish,0,,0,,1.611610782407758,1
1199,2025-08-20,13:48:36,AH,240,100-499,323.9,303.29,6.3630750231552815,Bearish,0,,0,,1.611610782407758,1
1200,2025-08-20,13:45:56,AH,480,100-499,323.9,305.54,5.668416177832651,Bearish,0,,0,,1.611610782407758,1
1201,2025-08-20,10:23:22,RTH,3,<10,321.63,309.92,3.6408295246090163,Bearish,0,,0,,0.91720527445162,1
1202,2025-08-20,14:02:23,AH,800,500-999,323.9,309.93,4.313059586292057,Bearish,0,,0,,1.611610782407758,1
1203,2025-08-20,13:47:10,AH,260,100-499,323.9,335.26,3.5072553257178187,Bullish,1,2.0,1,2.0,56.86838530410622,88
1204,2025-08-20,13:58:56,AH,100,50-100,323.9,340.54,5.137388082741601,Bullish,1,3.0,1,2.0,56.86838530410622,88
1240,2025-08-21,14:05:33,AH,760,500-999,320.11,301.26,5.8886007934772495,Bearish,0,,0,,0.13120413563892525,1
1241,2025-08-21,14:00:42,AH,30,20-49,320.11,301.92,5.682421667551778,Bearish,0,,0,,0.13120413563892525,1
1242,2025-08-21,14:10:27,AH,360,100-499,320.11,302.63,5.460622910874393,Bearish,0,,0,,0.13120413563892525,1
1243,2025-08-21,14:28:51,AH,50,50-100,320.11,303.43,5.210708818843524,Bearish,0,,0,,0.13120413563892525,1
1244,2025-08-21,14:25:10,AH,21,20-49,320.11,304.05,5.017025397519603,Bearish,0,,0,,0.13120413563892525,1
1245,2025-08-21,14:22:42,AH,160,100-499,320.11,304.58,4.851457311549164,Bearish,0,,0,,0.13120413563892525,1
1246,2025-08-21,14:07:22,AH,40,20-49,320.11,309.14,3.4269469869732365,Bearish,0,,0,,0.13120413563892525,1
